Public_MAG_ID	Domain	phylum	class	order	family	genus	species	no_species_assignment
RESPICAT_MAG_000718	Bacteria	Bacillota_C	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas	NA	TRUE
RESPICAT_MAG_000719	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA	TRUE
RESPICAT_MAG_000720	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Lancefieldella	Lancefieldella sp015258485	FALSE
RESPICAT_MAG_000721	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium durum	FALSE
RESPICAT_MAG_000722	Bacteria	Patescibacteria	JAEDAM01	BD1-5	UBA2023	GN02-873	GN02-873 sp003260345	FALSE
RESPICAT_MAG_000723	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Saccharimonas	NA	TRUE
RESPICAT_MAG_000724	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanosynbacteraceae	Nanosynbacter	NA	TRUE
RESPICAT_MAG_000725	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	JABCPE02	NA	TRUE
RESPICAT_MAG_000726	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Alloprevotella	Alloprevotella sp003639005	FALSE
RESPICAT_MAG_000727	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Saccharimonas	NA	TRUE
RESPICAT_MAG_000728	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter_B	NA	TRUE
RESPICAT_MAG_000729	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Pasteurellaceae	Haemophilus_D	Haemophilus_D parainfluenzae	FALSE
RESPICAT_MAG_000730	Bacteria	Actinomycetota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Arachnia	Arachnia massiliensis	FALSE
RESPICAT_MAG_000731	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Saccharimonas	NA	TRUE
RESPICAT_MAG_000732	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter_B	NA	TRUE
RESPICAT_MAG_000733	Bacteria	Bacillota_C	Negativicutes	Selenomonadales	Selenomonadaceae	AWVT01	AWVT01 sp916439735	FALSE
RESPICAT_MAG_000734	Bacteria	Spirochaetota	Spirochaetia	Treponematales	Treponemataceae	Treponema_D	Treponema_D buccale	FALSE
RESPICAT_MAG_000735	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	NA	TRUE
RESPICAT_MAG_000736	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	NA	TRUE
